id,name
1560,Yaoyorozu
1562,Team YokkyuFuman
1567,Nut
1569,Seven Arcs Pictures
1572,XFLAG
1573,XFLAG Pictures
1575,DR Movie
1591,Science SARU
1592,Kamio Japan
1593,Success Corp.
1596,Will Palette
1618,Rockwell Eyes
1638,Tsukimidou
1639,Chiptune
1642,Circle Tribute
1650,Twilight Studio
1661,drop
1662,Creators Dot Com
1667,Foch Film
1668,Karasfilms
1669,production doA
1673,DMM.futureworks
1678,Yuhodo
1684,THINKR
1687,Yokohama Animation Laboratory
1690,Imagineer
1691,Studio UGOKI
1692,Revoroot
1693,Studio Flad
1705,Studio Khronos
1717,Onionskin
1722,Bibury Animation Studios
1723,Anime Beans
1724,Studio OX
1725,Minakata Laboratory
1726,Three-d
1746,Pops Inc.
1747,Twin Engine
1750,Studio CA
1751,pH Studio
1753,D & D Pictures
1754,Meruhensha
1759,Lyrics
1762,Piso Studio
1763,Studio Nanahoshi
1764,Picona
1766,Husio Studio
1767,iDRAGONS Creative Studio
1768,Sparkly Key Animation Studio
1769,helo.inc
1770,KIZAWA Studio
1771,Pb Animation Co. Ltd.
1772,Wawayu Animation
1774,LAN Studio
1776,Studio Mir
1793,Happy Elements
1794,EKACHI EPILKA
1795,CUCURI
1796,Digital Network Animation
1797,NHK Enterprises
1800,Marui Group
1804,Niceboat Animation
1805,Thundray
1807,2:10 Animation
1808,CG Year
1809,October Media
1810,Mili Pictures
1811,Boyan Pictures
1812,Imagica Imageworks
1813,Studio Lings
1814,Studio Hakk
1827,Motion Magic
1828,Lapin Track
1829,Lesprit
1830,Seven Stone Entertainment
1831,Colored Pencil Animation Japan
1832,GRIZZLY
1835,CloverWorks
1836,SELFISH
1837,G-angle
1838,33 Collective
1839,Studio Ppuri
1842,Urban Product
1843,TriF Studio
1844,Shanghai Hippo Animation
1845,Guton Animation Studio
1846,Tokyo Movie
1847,Square Enix Visual Works
1848,Dancing CG Studio
1849,MASTER LIGHTS
1851,Jumonji
1853,Saetta
1854,monofilmo
1857,Geek Toys
1860,Magia Doraglier
1861,Animation Planet
1864,Ezόla
1866,Grom
1867,Aurum Production
1871,Studio W.Baba
1872,P.I.C.S.
1873,Silver
1874,Arvo Animation
1876,CLAP
1879,Dangun Pictures
1881,Friendly Land
1882,UWAN Pictures
1887,Brio Animation
1890,Tear Studio
1892,Sublimation
1893,CygamesPictures
1897,Ankama Animations
1903,IMAGICA Lab.
1910,Sega Interactive
1927,Studio Crocodile
1930,Zelico Film
1932,Speed Inc.
1934,Saigo no Shudan
1936,Liberty Animation Studio
1938,Polygon Magic
1939,Alpha Animation
1943,Idol
1944,Samsara Animation Studio
1945,Lide
1947,Kate Arrow
1949,Anon Pictures
1951,ANIDO FILM
1952,Animation Staff Room
1953,W+K Tokyo
1954,Welz Animation Studios
1958,YHKT Entertainment
1959,Green Monster Team
1960,StoryRiders Co. Ltd.
1961,Creatures Inc.
1966,Arch
1967,Drive
1968,Studio Hokiboshi
1969,V-sign
1970,Wolf Smoke Studio
1971,Gainax Kyoto
1972,HOTZIPANG
1973,Monster's Egg
1974,ENGI
1975,Qubic Pictures
1976,CGCG Studio
1978,Maho Film
1979,Suna Kouhou
1980,Big Firebird Culture
1983,Anima&Co.
1984,Bakken Record
1991,Enishiya
1993,Studio Bind
1995,Live2D Creative Studio
1997,Studio Kai
1998,Studio Signpost
1999,Albacrow
2004,Sunrise Beyond
2009,Yostar Pictures
2010,Nippon Ramayana Film Co.
2011,Yonago Gainax
2013,Peak Hunt
2014,Nur
2020,Ark
2022,TYMOTE
2023,Spoon
2027,Team TillDawn
2029,Earth Design Works
2032,WHOPPERS
2033,FILMONY
2034,Akatsuki
2037,Okuruto Noboru
2040,Maro Studio
2041,Enjin Productions
2042,Ruo Hong Culture
2046,Dazzling Star
2047,Pancake
2048,ASK Animation Studio
2050,Trash Studio
2051,Studio Coa
2052,Wolfsbane
2053,l-a-unch・BOX
2054,MORIE Inc.
2055,BYMENT
2056,DRAWIZ
2057,Toho Interactive Animation
2058,Shengying Animation
2059,Suoyi Technology
2060,Wulifang
2061,Kaca Entertainment
2063,Spell Bound
2064,Mokai Technology
2065,Original Force
2067,Flat Studio
2068,Ai Si Animation Studio
2069,Making Animation
2070,Wei Chuang Jiang Xin
2071,AQUA ARIS
2073,Painting Dream
2075,Taomee
2076,Fenz
2078,HIDEHOMARE
2079,Animation Lab Japan
2080,Super Normal Studio
2081,JJJOY Animation Studios
2082,Benlai Pictures
2084,Tong Mingxuan Studio
2085,Acca effe
2086,Giga Production
2091,Xanthus Media
2097,HORNETS
2114,Ether Kitten
2115,Gosay Studio
2122,PERIMETRON
2125,LICO
2126,Red Dog Culture House
2129,Visual Flight
2130,Studio Shelter
2133,Djinn Power
2134,Studio CANDY BOX
2136,Ten Tails Animation
2137,1IN
2140,Qianqi Animation
2141,TANOsim
2143,LX Animation Studio
2144,BloomZ
2151,Ekakiya
2157,Production +h.
2158,Durufix
2159,Composition Inc.
2161,Suspenders
2162,Maxilla
